log_domestic_box_office,log_worldwide_box_office,log_max_theaters,log_opening_theaters,log_budget,log_opening_weekend,release_year,release_month,running_time_minutes,is_franchise,mpaa_rating,genre,source,production_method,creative_type
18.684341736535195,20.217250858449226,8.326758814511733,8.311398278436641,19.19540791611303,17.615038188385927,2017.0,6.0,148.0,1,PG-13,Action,Based on TV,"Animation,Live Action",Science Fiction
20.297710197881784,21.23672617201035,8.36450810375059,8.360539381370861,19.186148590743098,19.156917447046666,2015.0,6.0,124.0,1,PG-13,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction
19.003012865398343,20.298944287347062,8.354438940114811,8.354438940114811,19.186148590743098,17.815412197539157,2012.0,5.0,104.0,1,PG-13,Action,Based on Comic/Graphic Novel,"Animation,Live Action",Science Fiction
19.81224089393856,20.544760628621912,8.364973978438726,8.351138607086154,19.162618093443648,18.50654929149445,2009.0,6.0,149.0,1,PG-13,Action,Based on TV,"Animation,Live Action",Science Fiction
19.318559315542874,20.82225476276854,8.350902451694811,8.350902451694811,19.162618093443648,18.421064580277775,2014.0,6.0,165.0,1,PG-13,Action,Based on TV,"Animation,Live Action",Science Fiction
19.272379462058243,19.945129118465676,8.220133957151859,8.213652703029998,19.162618093443648,18.447815893071436,2006.0,5.0,104.0,1,PG-13,Action,Based on Comic/Graphic Novel,Live Action,Super Hero
18.47409969303436,19.591486576043412,8.16223106548118,8.161660452056282,19.162618093443648,17.40078867038833,2010.0,5.0,139.0,0,PG-13,Action,Based on Folk Tale/Legend/Fairytale,Live Action,Historical Fiction
19.20037264513479,20.126369044965056,8.196436811235028,8.18004072349016,19.14822935606056,17.73013310166313,2005.0,12.0,189.0,1,PG-13,Adventure,Remake,"Animation,Live Action",Fantasy
18.639665475350917,19.900877992832758,8.239593454305968,8.217978203150732,19.138520541980732,17.13644508550022,2023.0,12.0,124.0,1,PG-13,Action,Based on Comic/Graphic Novel,Live Action,Super Hero
18.06554360270302,19.721587569846747,8.16876982367527,8.16876982367527,19.138520541980732,17.065234954904952,2007.0,12.0,113.0,1,PG-13,Adventure,Based on Fiction Book/Short Story,Live Action,Fantasy
17.901042250678703,19.71889101929987,7.983098940710892,7.941295570906532,19.138520541980732,16.811335477226518,2020.0,8.0,110.0,0,PG-13,Action,Original Screenplay,Live Action,Science Fiction
20.5184674002923,21.376219256335364,8.374938143835367,8.374938143835367,19.11382792951231,19.376725008544703,2021.0,12.0,148.0,1,PG-13,Action,Based on Comic/Graphic Novel,"Animation,Live Action",Super Hero
20.36667598510153,21.011565530880773,8.315077007294104,8.299285906897275,19.11382792951231,19.123797819530534,2018.0,2.0,120.0,1,PG-13,Action,Based on Comic/Graphic Novel,Live Action,Super Hero
20.329422949423382,21.522145418156388,8.09132127353041,7.891704659330107,19.11382792951231,17.17024967446589,1997.0,12.0,194.0,0,PG-13,Drama,Original Screenplay,Live Action,Historical Fiction
20.29705735753115,21.2532255216267,8.398634855292102,8.398634855292102,19.11382792951231,18.853771875065707,2024.0,6.0,100.0,1,PG,Adventure,Original Screenplay,Digital Animation,Kids Fiction
20.271881168465434,21.014495122342822,8.373553741214627,8.345455428161928,19.11382792951231,19.16942956164843,2024.0,7.0,127.0,1,R,Action,Based on Comic/Graphic Novel,"Animation,Live Action",Super Hero
20.22664179990663,20.940637048315836,8.392536586816682,8.39185670010494,19.11382792951231,19.02328982320754,2018.0,6.0,118.0,1,PG,Adventure,Original Screenplay,Digital Animation,Kids Fiction
20.002327149278496,20.74796442610429,8.367764677924308,8.367764677924308,19.11382792951231,18.721231710836886,2016.0,6.0,103.0,1,PG,Adventure,Original Screenplay,Digital Animation,Kids Fiction
19.888642666570934,20.792024082510853,8.428580533059634,8.428580533059634,19.11382792951231,18.610541029654048,2019.0,6.0,89.0,1,G,Adventure,Original Screenplay,Digital Animation,Kids Fiction
19.84380083957159,20.789876761983304,8.301273485191347,8.301273485191347,19.11382792951231,18.51877966795598,2010.0,6.0,102.0,1,G,Adventure,Original Screenplay,Digital Animation,Kids Fiction
19.834910279263237,20.674311895716247,8.419580362549237,8.419580362549237,19.11382792951231,19.048867975919997,2022.0,5.0,126.0,1,PG-13,Action,Based on Comic/Graphic Novel,"Animation,Live Action",Super Hero
19.829206821408075,20.91770612850621,8.355614995760183,8.355614995760183,19.11382792951231,18.97539646615063,2013.0,4.0,130.0,1,PG-13,Action,Based on Comic/Graphic Novel,"Animation,Live Action",Super Hero
19.781177956581633,20.58295490250268,8.3774712482411,8.3774712482411,19.11382792951231,18.802604960151868,2017.0,4.0,136.0,1,PG-13,Action,Based on Comic/Graphic Novel,"Animation,Live Action",Super Hero
