model,term,coef,std_error,p_value,ci_low,ci_high,stars
M3 Worldwide box office,C(genre_fe)[T.Romantic Comedy],0.143954,0.068233,0.03488,0.01022,0.277689,*
M3 Worldwide box office,C(genre_fe)[T.Thriller/Suspense],-0.170858,0.055437,0.002056,-0.279512,-0.062205,**
M3 Worldwide box office,C(genre_fe)[T.Western],-0.413947,0.13169,0.00167,-0.672055,-0.155839,**
M3 Worldwide box office,C(source_fe)[T.Based on Factual Book/Article],-0.153174,0.094235,0.104066,-0.337871,0.031522,
M3 Worldwide box office,C(source_fe)[T.Based on Fiction Book/Short Story],-0.037978,0.063347,0.54882,-0.162136,0.086179,
M3 Worldwide box office,C(source_fe)[T.Based on Folk Tale/Legend/Fairytale],0.267428,0.122531,0.029071,0.027271,0.507585,*
M3 Worldwide box office,C(source_fe)[T.Based on Game],0.251724,0.110883,0.023197,0.034397,0.469051,*
M3 Worldwide box office,C(source_fe)[T.Based on Movie],0.015219,0.173543,0.93012,-0.32492,0.355357,
M3 Worldwide box office,C(source_fe)[T.Based on Play],0.108517,0.130219,0.404652,-0.146708,0.363743,
M3 Worldwide box office,C(source_fe)[T.Based on Real Life Events],-0.178268,0.085781,0.037692,-0.346395,-0.010141,*
M3 Worldwide box office,C(source_fe)[T.Based on TV],0.045646,0.084028,0.586978,-0.119047,0.210338,
M3 Worldwide box office,C(source_fe)[T.Original Screenplay],-0.003476,0.060158,0.953919,-0.121384,0.114431,
M3 Worldwide box office,C(source_fe)[T.Other],-0.077098,0.111201,0.488111,-0.295049,0.140853,
M3 Worldwide box office,C(source_fe)[T.Remake],0.125756,0.079388,0.113176,-0.029841,0.281353,
M3 Worldwide box office,C(source_fe)[T.Spin-Off],0.170995,0.134705,0.204298,-0.093023,0.435012,
M3 Worldwide box office,C(release_year)[T.1974],1.134469,362.654277,0.997504,-709.654853,711.92379,
M3 Worldwide box office,C(release_year)[T.1975],0.448766,360.533353,0.999007,-706.183621,707.081152,
M3 Worldwide box office,C(release_year)[T.1976],-0.689377,360.533359,0.998474,-707.321776,705.943023,
M3 Worldwide box office,C(release_year)[T.1977],0.95187,360.601417,0.997894,-705.81392,707.71766,
M3 Worldwide box office,C(release_year)[T.1978],0.214551,360.533497,0.999525,-706.418118,706.847219,
M3 Worldwide box office,C(release_year)[T.1979],-0.155866,360.533493,0.999655,-706.788528,706.476796,
M3 Worldwide box office,C(release_year)[T.1980],-0.630787,360.533582,0.998604,-707.263622,706.002049,
M3 Worldwide box office,C(release_year)[T.1981],-0.716712,360.533419,0.998414,-707.349229,705.915804,
M3 Worldwide box office,C(release_year)[T.1982],-0.796329,360.533463,0.998238,-707.428931,705.836272,
M3 Worldwide box office,C(release_year)[T.1983],-0.648384,360.533483,0.998565,-707.281025,705.984257,
M3 Worldwide box office,C(release_year)[T.1984],-1.250922,360.533447,0.997232,-707.883494,705.38165,
M3 Worldwide box office,C(release_year)[T.1985],-0.784278,360.533466,0.998264,-707.416886,705.848331,
M3 Worldwide box office,C(release_year)[T.1986],-1.12754,360.533514,0.997505,-707.760242,705.505163,
M3 Worldwide box office,C(release_year)[T.1987],-1.079565,360.533439,0.997611,-707.712121,705.552991,
M3 Worldwide box office,C(release_year)[T.1988],-0.803002,360.533431,0.998223,-707.435542,705.829537,
M3 Worldwide box office,C(release_year)[T.1989],-0.880116,360.533379,0.998052,-707.512555,705.752323,
M3 Worldwide box office,C(release_year)[T.1990],-0.673546,360.533453,0.998509,-707.30613,705.959037,
M3 Worldwide box office,C(release_year)[T.1991],-0.880882,360.533381,0.998051,-707.513325,705.75156,
M3 Worldwide box office,C(release_year)[T.1992],-0.755153,360.533391,0.998329,-707.387615,705.87731,
M3 Worldwide box office,C(release_year)[T.1993],-0.655079,360.533405,0.99855,-707.287568,705.977411,
M3 Worldwide box office,C(release_year)[T.1994],-0.752786,360.533366,0.998334,-707.385199,705.879626,
M3 Worldwide box office,C(release_year)[T.1995],-0.779225,360.533354,0.998276,-707.411613,705.853164,
M3 Worldwide box office,C(release_year)[T.1996],-0.921163,360.533354,0.997961,-707.553552,705.711225,
M3 Worldwide box office,C(release_year)[T.1997],-0.772417,360.533355,0.998291,-707.404808,705.859974,
M3 Worldwide box office,C(release_year)[T.1998],-1.037406,360.533353,0.997704,-707.669794,705.594981,
M3 Worldwide box office,C(release_year)[T.1999],-1.145375,360.533352,0.997465,-707.77776,705.48701,
M3 Worldwide box office,C(release_year)[T.2000],-1.092672,360.533347,0.997582,-707.725047,705.539704,
M3 Worldwide box office,C(release_year)[T.2001],-1.204492,360.533347,0.997334,-707.836867,705.427882,
M3 Worldwide box office,C(release_year)[T.2002],-1.210777,360.533347,0.99732,-707.843153,705.421598,
M3 Worldwide box office,C(release_year)[T.2003],-1.13375,360.53335,0.997491,-707.766131,705.49863,
M3 Worldwide box office,C(release_year)[T.2004],-1.171789,360.533349,0.997407,-707.804168,705.460591,
M3 Worldwide box office,C(release_year)[T.2005],-1.235461,360.533347,0.997266,-707.867836,705.396914,
M3 Worldwide box office,C(release_year)[T.2006],-1.087294,360.533348,0.997594,-707.719672,705.545084,
M3 Worldwide box office,C(release_year)[T.2007],-1.233219,360.533347,0.997271,-707.865595,705.399157,
M3 Worldwide box office,C(release_year)[T.2008],-1.118426,360.533348,0.997525,-707.750803,705.513952,
M3 Worldwide box office,C(release_year)[T.2009],-1.034414,360.53335,0.997711,-707.666795,705.597967,
M3 Worldwide box office,C(release_year)[T.2010],-0.998962,360.533348,0.997789,-707.63134,705.633415,
M3 Worldwide box office,C(release_year)[T.2011],-0.999813,360.533347,0.997787,-707.632189,705.632562,
M3 Worldwide box office,C(release_year)[T.2012],-0.951817,360.533347,0.997894,-707.584192,705.680559,
M3 Worldwide box office,C(release_year)[T.2013],-1.138645,360.533347,0.99748,-707.77102,705.493731,
